model,k,Aggregate,Decoding mode,Sampling mode,Method,Prompt,GSM8K,,,MATH,,,Math QA,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,82.6,,,52.4,,,62.2,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,84,,,55.6,,,61.6,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,83.6,,,53.2,,,61.8,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,81.4,,,52.6,,,62.6,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,,,,,,,,
